job,model,context,tool_rounds,seed,variant,detection,expected_output,full_accuracy,failed_slots,slots,final_rate,expected_output_given_final,mean_generated_tokens,mean_tool_calls
grpo_ctx8192_tools1_seed42,grpo,8192,1,42,all,0.6527777777777778,0.2847222222222222,0.2777777777777778,26,144,0.8194444444444444,0.3474576271186441,3428.7916666666665,0.8611111111111112
grpo_ctx8192_tools1_seed42,grpo,8192,1,42,original,0.6666666666666666,0.2777777777777778,0.25,5,36,0.8611111111111112,0.3225806451612903,3165.8055555555557,0.8888888888888888
grpo_ctx8192_tools1_seed42,grpo,8192,1,42,renamed,0.6666666666666666,0.3611111111111111,0.3611111111111111,6,36,0.8333333333333334,0.43333333333333335,3594.1111111111113,0.8611111111111112
grpo_ctx8192_tools1_seed42,grpo,8192,1,42,reordered,0.7222222222222222,0.25,0.25,4,36,0.8888888888888888,0.28125,2795.6666666666665,0.9166666666666666
grpo_ctx8192_tools1_seed42,grpo,8192,1,42,renamed_reordered,0.5555555555555556,0.25,0.25,11,36,0.6944444444444444,0.36,4159.583333333333,0.7777777777777778
base_ctx16384_tools0_seed42,base,16384,0,42,all,0.9097222222222222,0.8194444444444444,0.8194444444444444,7,144,0.9513888888888888,0.8613138686131386,7952.256944444444,0.0
base_ctx16384_tools0_seed42,base,16384,0,42,original,0.9444444444444444,0.8333333333333334,0.8333333333333334,2,36,0.9444444444444444,0.8823529411764706,7372.25,0.0
base_ctx16384_tools0_seed42,base,16384,0,42,renamed,0.9444444444444444,0.8888888888888888,0.8888888888888888,0,36,1.0,0.8888888888888888,7890.972222222223,0.0
base_ctx16384_tools0_seed42,base,16384,0,42,reordered,0.8888888888888888,0.7777777777777778,0.7777777777777778,3,36,0.9166666666666666,0.8484848484848485,7696.222222222223,0.0
base_ctx16384_tools0_seed42,base,16384,0,42,renamed_reordered,0.8611111111111112,0.7777777777777778,0.7777777777777778,2,36,0.9444444444444444,0.8235294117647058,8849.583333333334,0.0
sft_ctx16384_tools0_seed42,sft,16384,0,42,all,0.5347222222222222,0.2152777777777778,0.2152777777777778,47,144,0.6736111111111112,0.31958762886597936,7857.131944444444,0.0
sft_ctx16384_tools0_seed42,sft,16384,0,42,original,0.6388888888888888,0.2777777777777778,0.2777777777777778,11,36,0.6944444444444444,0.4,7472.805555555556,0.0
sft_ctx16384_tools0_seed42,sft,16384,0,42,renamed,0.4166666666666667,0.16666666666666666,0.16666666666666666,13,36,0.6388888888888888,0.2608695652173913,8437.944444444445,0.0
sft_ctx16384_tools0_seed42,sft,16384,0,42,reordered,0.6111111111111112,0.2222222222222222,0.2222222222222222,10,36,0.7222222222222222,0.3076923076923077,7298.444444444444,0.0
sft_ctx16384_tools0_seed42,sft,16384,0,42,renamed_reordered,0.4722222222222222,0.19444444444444445,0.19444444444444445,13,36,0.6388888888888888,0.30434782608695654,8219.333333333334,0.0
grpo_ctx16384_tools0_seed42,grpo,16384,0,42,all,0.6041666666666666,0.2916666666666667,0.2847222222222222,37,144,0.7430555555555556,0.3925233644859813,7635.520833333333,0.0
grpo_ctx16384_tools0_seed42,grpo,16384,0,42,original,0.5555555555555556,0.3333333333333333,0.3055555555555556,8,36,0.7777777777777778,0.42857142857142855,6531.361111111111,0.0
grpo_ctx16384_tools0_seed42,grpo,16384,0,42,renamed,0.5555555555555556,0.25,0.25,11,36,0.6944444444444444,0.36,8162.527777777777,0.0
grpo_ctx16384_tools0_seed42,grpo,16384,0,42,reordered,0.6111111111111112,0.2777777777777778,0.2777777777777778,9,36,0.75,0.37037037037037035,7529.166666666667,0.0
grpo_ctx16384_tools0_seed42,grpo,16384,0,42,renamed_reordered,0.6944444444444444,0.3055555555555556,0.3055555555555556,9,36,0.75,0.4074074074074074,8319.027777777777,0.0
base_ctx16384_tools1_seed42,base,16384,1,42,all,0.8958333333333334,0.8819444444444444,0.8819444444444444,15,144,0.8958333333333334,0.9844961240310077,7235.951388888889,0.8958333333333334
base_ctx16384_tools1_seed42,base,16384,1,42,original,0.9444444444444444,0.9166666666666666,0.9166666666666666,2,36,0.9444444444444444,0.9705882352941176,6739.75,0.8611111111111112
base_ctx16384_tools1_seed42,base,16384,1,42,renamed,0.9444444444444444,0.9444444444444444,0.9444444444444444,2,36,0.9444444444444444,1.0,7211.388888888889,0.9722222222222222
base_ctx16384_tools1_seed42,base,16384,1,42,reordered,0.7777777777777778,0.7777777777777778,0.7777777777777778,8,36,0.7777777777777778,1.0,7415.944444444444,0.8611111111111112
base_ctx16384_tools1_seed42,base,16384,1,42,renamed_reordered,0.9166666666666666,0.8888888888888888,0.8888888888888888,3,36,0.9166666666666666,0.9696969696969697,7576.722222222223,0.8888888888888888
sft_ctx16384_tools1_seed42,sft,16384,1,42,all,0.625,0.2916666666666667,0.2847222222222222,31,144,0.7847222222222222,0.37168141592920356,5321.506944444444,0.7708333333333334
sft_ctx16384_tools1_seed42,sft,16384,1,42,original,0.75,0.3888888888888889,0.3888888888888889,3,36,0.9166666666666666,0.42424242424242425,3684.722222222222,0.8611111111111112
sft_ctx16384_tools1_seed42,sft,16384,1,42,renamed,0.6666666666666666,0.3333333333333333,0.3055555555555556,7,36,0.8055555555555556,0.41379310344827586,5378.277777777777,0.8055555555555556
sft_ctx16384_tools1_seed42,sft,16384,1,42,reordered,0.5833333333333334,0.25,0.25,8,36,0.7777777777777778,0.32142857142857145,5066.944444444444,0.7222222222222222
sft_ctx16384_tools1_seed42,sft,16384,1,42,renamed_reordered,0.5,0.19444444444444445,0.19444444444444445,13,36,0.6388888888888888,0.30434782608695654,7156.083333333333,0.6944444444444444
grpo_ctx16384_tools1_seed42,grpo,16384,1,42,all,0.6805555555555556,0.3402777777777778,0.3125,11,144,0.9236111111111112,0.3684210526315789,3956.409722222222,0.9097222222222222
grpo_ctx16384_tools1_seed42,grpo,16384,1,42,original,0.6388888888888888,0.3611111111111111,0.3055555555555556,2,36,0.9444444444444444,0.38235294117647056,3176.6111111111113,0.9722222222222222
grpo_ctx16384_tools1_seed42,grpo,16384,1,42,renamed,0.6944444444444444,0.3611111111111111,0.3611111111111111,2,36,0.9444444444444444,0.38235294117647056,4209.055555555556,0.9444444444444444
grpo_ctx16384_tools1_seed42,grpo,16384,1,42,reordered,0.6944444444444444,0.3055555555555556,0.3055555555555556,5,36,0.8611111111111112,0.3548387096774194,4227.805555555556,0.8611111111111112
grpo_ctx16384_tools1_seed42,grpo,16384,1,42,renamed_reordered,0.6944444444444444,0.3333333333333333,0.2777777777777778,2,36,0.9444444444444444,0.35294117647058826,4212.166666666667,0.8611111111111112
