idx,problem_id,module,fault,pi_bits,po_bits,gates,exact,probe_vectors,uniform_detection,uniform_activation,expected_random_best4,target_is_pi,target_is_po,all_zero,all_one,zero_or_one,constant2_random2_observed,random,greedy,mcts,best_of_n,evolutionary,vector_evolutionary
44,e865bcca5e5d94216d1866c374f7577e1e4b484ae8f629a2a90a5f026c8ab715,booth_algorithm,sa0 n132,8,8,79,True,256,0.421875,0.75,0.8882912993431091,False,False,0,1,1,1.0,0.5625,0.375,0.4375,0.5625,0.625,1.0
45,bfd6b48d29a7f22b8a4c1f84ae2e4e3fe666f35c054d858b5df723513e1fbcbc,top,sa0 y[49],36,100,118,False,8192,1.0,1.0,1.0,False,True,1,1,1,1.0,1.0,0.6875,0.6875,0.875,0.9375,1.0
46,010a0b64055db3fc58213e493c60d4604b618e9ed534bd2d6c5dd1909f71274d,mux_a,sa1 switch,25,16,17,False,8192,0.495849609375,0.495849609375,0.9353988227901446,True,False,1,0,1,1.0,0.4375,0.8125,1.0,1.0,1.0,0.9375
47,54f84750f7f083d39a06ec0350fc93d37ed37cf05fdc49fb6a68de412704a1c5,majripplecarryadder_14,sa1 pa9,29,15,42,False,8192,0.50244140625,0.50244140625,0.938711791496587,True,False,1,0,1,1.0,0.5625,1.0,1.0,1.0,1.0,1.0
48,689db3566efaee53ad4c1e1b78da71f7f04db7962d951a7fe4519eab96011837,decoder_4to16,sa1 out0,4,16,22,True,16,0.9375,0.9375,0.9999847412109375,False,True,0,1,1,1.0,0.9375,0.8125,1.0,1.0,1.0,1.0
49,25923370c6c77a91ea8c1942c7ac723536e252825fd394492e228f2b3918afbb,simple_processor,sa1 branch,6,11,19,True,64,0.984375,0.984375,0.9999999403953552,False,True,1,1,1,1.0,1.0,0.9375,1.0,1.0,1.0,1.0
50,a248fb03205a81f4ccf912ab13bf5e368b06deef1002634717ccd21fcbf028c6,full_add,sa0 n4,3,2,3,True,8,0.5,0.5,0.9375,False,False,1,0,1,1.0,0.5625,0.5625,0.9375,1.0,1.0,1.0
51,c9429989ac04a90d622a82e8491fbb40204e30fa7d93cb8dbc20c6d002fb0087,wideexpr_00361,sa1 y[30],80,128,159,False,8192,1.0,1.0,1.0,False,True,1,1,1,1.0,1.0,0.5,0.625,0.625,0.875,1.0
52,c5c064c30810641d9814bcb9ac2f4dc9e329e668cfdded9709a2e56917e1cb9e,multiple_nets,sa0 N25,64,32,60,False,8192,0.745361328125,0.745361328125,0.9957956637544463,False,False,0,1,1,1.0,0.9375,0.625,0.75,1.0,1.0,1.0
53,15a722ced1021deecbc7f81cddfae33ae55871211e2a0d2b8a2f5dcae7bc1310,ripple_carry_adder,sa1 n39,17,9,24,False,8192,0.5020751953125,0.5020751953125,0.938531155857717,False,False,0,1,1,1.0,0.5625,0.375,0.875,1.0,1.0,0.9375
54,69988a87a45a7cfb41eca4f6c0dc356688bae88be80218df7741d0bc4e48596f,top,sa1 y[34],40,52,63,False,8192,1.0,1.0,1.0,False,True,1,1,1,1.0,1.0,0.9375,0.9375,0.875,1.0,1.0
55,57d84b47662c265e7ba68be6edbf98bdb046ed87eb4437bf677cc06776cd88b4,increment_pc_by_4,sa1 n24,32,32,74,False,8192,0.0,0.0,0.0,False,False,0,1,1,1.0,0.0,0.0,0.0,0.0625,0.0,0.0
